0,1
7.0232295622779175e-15,1.4588083294653566e-12
4.951961699075038e-15,1.0089401148197624e-12
4.298063515576749e-15,8.176813639916604e-13
4.567597960885903e-15,1.0373596017621365e-12
3.0975914858203018e-15,8.723877940597265e-13
1.3372246315654255e-15,4.573136438416256e-13
9.589705096371194e-16,2.727555017948935e-13
1.444894674634116e-15,3.4324580078155716e-13
3.2175242600795226e-15,8.149932762497834e-13
3.986125300390768e-15,8.703322896641327e-13
3.1706022051923968e-15,6.203520329736751e-13
3.9221882264598655e-15,8.208684859847002e-13
3.2835852749741256e-15,5.677762071426912e-13
1.880064337061097e-15,2.433528307585426e-13
1.8392392100512847e-15,2.619240330416855e-13
1.7359406645245563e-15,2.545947487972907e-13
2.4451476223376354e-15,4.615910024450713e-13
2.327736939938863e-15,4.925855247351306e-13
2.116305879242352e-15,4.261452074992302e-13
