0,1
6.538583930530401e-15,1.434332936461073e-12
3.1591229893594625e-15,5.811609780851726e-13
4.343876679296588e-15,8.756314015363859e-13
5.252100676433139e-15,1.2145668846166347e-12
3.542220719095225e-15,6.501974510379333e-13
5.911391042156086e-15,1.1426072091427945e-12
4.523587770778522e-15,1.1442399473236413e-12
4.350359488196412e-15,1.083709929124146e-12
1.1147912644821312e-14,2.2136035039088607e-12
1.5156550196365927e-14,3.248438006746287e-12
1.6336050529916566e-14,3.489559485273817e-12
1.0888548108803215e-14,2.269606302762366e-12
4.229203098681124e-15,8.960879836087695e-13
3.045051193388858e-15,6.786408253675977e-13
5.087705323288562e-15,1.1837254280697275e-12
8.321367413664724e-15,1.978588812270175e-12
1.2086936938585673e-14,2.9612666982972625e-12
1.2244321778872293e-14,2.837958153066223e-12
8.168300488916786e-15,1.5864108252748039e-12
