14.125,36.5,12.375,-5.624999999999999,15.875,90.625,41.75,5.25,-7.0,-4.875,-4.625,-25.5,-14.0,-5.875,5.5,-59.0,-16.875,-1.25,182.62499999999997
10.375,31.374999999999996,12.0,-3.25,21.249999999999996,88.24999999999999,42.74999999999999,10.124999999999998,-6.625,-3.1249999999999996,-1.375,-16.875,-4.25,-0.375,9.875,-66.875,-32.875,2.5,191.25
10.5,31.5,11.125,-2.3749999999999996,24.999999999999996,92.875,42.625,16.375,-5.624999999999999,-2.5,0.375,-12.499999999999998,-0.875,1.8749999999999998,11.0,-69.75,-41.0,1.125,204.625
16.625,38.375,12.125,-3.875,20.375,102.625,41.37499999999999,15.875,-7.375,-6.0,-2.3749999999999996,-26.625,-13.625,1.25,7.124999999999999,-68.375,-30.749999999999996,4.5,211.5
21.75,42.99999999999999,14.249999999999998,-5.624999999999999,14.625,109.625,45.49999999999999,12.0,-10.0,-9.875,-6.0,-47.125,-29.625,-2.625,5.125,-69.37499999999999,-13.124999999999998,12.499999999999998,214.87499999999997
19.25,38.5,14.75,-5.5,15.25,104.25,45.375,10.875,-9.75,-9.625,-6.75,-47.25,-30.124999999999996,-9.25,4.0,-74.25,-10.25,6.5,220.99999999999997
11.5,33.5,13.875,-6.375,12.25,98.87499999999999,37.99999999999999,7.0,-11.0,-10.124999999999998,-8.874999999999998,-43.375,-31.25,-16.625,-1.5,-85.99999999999999,-23.125,-8.75,222.87499999999997
9.625,34.625,14.5,-8.5,6.0,104.0,39.875,1.625,-12.0,-12.0,-12.0,-43.625,-34.25,-20.124999999999996,-6.0,-90.25,-27.875,-14.374999999999998,219.62499999999997
14.625,36.75,14.125,-7.75,7.375,106.62499999999999,40.0,3.5,-8.375,-11.374999999999998,-10.875,-41.37499999999999,-31.624999999999996,-18.0,-4.749999999999999,-87.12499999999999,-26.124999999999996,-11.874999999999998,206.49999999999997
16.125,33.875,13.0,-4.875,12.0,102.5,38.625,8.75,-6.0,-9.875,-7.75,-37.625,-26.249999999999996,-14.0,-1.75,-87.375,-30.25,-9.125,203.625
12.875,28.749999999999996,12.375,-4.375,12.375,97.5,42.25,8.5,-7.0,-7.875,-5.25,-30.625,-17.25,-9.875,-0.625,-86.12499999999999,-36.5,-8.5,208.0
9.75,27.0,11.0,-4.0,12.75,93.625,39.625,6.625,-6.5,-6.125,-2.3749999999999996,-24.125,-12.125,-4.749999999999999,0.5,-83.24999999999999,-30.625,-6.5,226.0
12.25,31.25,12.499999999999998,-1.25,16.125,97.875,41.0,8.75,-7.124999999999999,-7.875,-1.375,-31.124999999999996,-23.0,-4.375,3.375,-86.875,-18.999999999999996,0.875,252.75
15.875,35.24999999999999,14.0,-0.5,17.0,103.87499999999999,44.99999999999999,8.125,-9.875,-11.0,-3.0,-43.375,-32.99999999999999,-9.125,4.0,-83.24999999999999,-17.749999999999996,0.75,260.125
13.124999999999998,32.25,13.0,-0.375,17.125,101.0,37.875,6.625,-11.0,-9.875,-1.8749999999999998,-41.37499999999999,-25.5,-8.5,3.375,-74.37499999999999,-20.875,-7.0,257.0
